ms,lp,al,be
1.344809000000000054e+01,-3.017737400000000125e+00,-3.406025500000000039e-01,7.407938299999999865e-01
1.345241900000000079e+01,-3.029854199999999942e+00,-3.344724000000000030e-01,7.382101899999999883e-01
1.349241100000000060e+01,-3.037681200000000192e+00,-4.812441199999999975e-01,6.984332300000000160e-01
1.348663600000000073e+01,-3.032441899999999801e+00,-4.990737599999999774e-01,7.187730100000000455e-01
1.349015900000000023e+01,-3.010931300000000199e+00,-4.973019599999999873e-01,7.162560000000000038e-01
1.347152900000000031e+01,-3.022620600000000213e+00,-4.981349700000000102e-01,7.085757999999999779e-01
1.349181199999999947e+01,-3.023495399999999833e+00,-4.938515499999999725e-01,7.075162099999999787e-01
1.336235600000000012e+01,-3.007259200000000021e+00,-2.944254399999999827e-01,6.924518299999999904e-01
1.335194000000000081e+01,-2.986014099999999782e+00,-3.219753599999999882e-01,6.757933799999999991e-01
1.334553900000000048e+01,-2.994103899999999818e+00,-3.076849999999999863e-01,6.861485200000000395e-01
1.322999699999999912e+01,-2.953037199999999807e+00,-2.938839400000000102e-01,6.311346100000000403e-01
1.331290300000000038e+01,-2.941620499999999971e+00,-3.334126900000000115e-01,6.637195099999999570e-01
1.331199900000000014e+01,-2.968959799999999927e+00,-2.990499099999999744e-01,6.640429899999999996e-01
1.337581800000000065e+01,-2.971700199999999903e+00,-3.826610400000000078e-01,6.767597699999999827e-01
1.333659100000000031e+01,-2.959881999999999902e+00,-3.759466699999999828e-01,6.566793300000000055e-01
1.331869700000000023e+01,-2.964819799999999894e+00,-3.615571000000000201e-01,6.614858399999999916e-01
1.334377500000000083e+01,-2.963517599999999863e+00,-3.022021300000000132e-01,6.895791399999999793e-01
1.332226299999999952e+01,-2.959691900000000153e+00,-3.029313200000000039e-01,6.745304500000000036e-01
1.352302199999999921e+01,-3.046857399999999938e+00,-4.059929899999999980e-01,7.824215700000000107e-01
1.342565500000000078e+01,-2.993256300000000092e+00,-4.081428100000000225e-01,7.113723400000000474e-01
1.341798000000000002e+01,-2.986468400000000134e+00,-4.221828100000000195e-01,7.045880700000000108e-01
1.335431999999999952e+01,-2.968230099999999982e+00,-3.246152400000000271e-01,6.993969700000000067e-01
1.337425400000000053e+01,-2.961224099999999915e+00,-3.403928199999999848e-01,6.961789400000000239e-01
1.338133799999999951e+01,-2.959286099999999919e+00,-3.412453999999999765e-01,6.945056600000000246e-01
1.336927500000000002e+01,-2.961946699999999932e+00,-3.407616399999999768e-01,6.981197199999999992e-01
1.332581099999999985e+01,-2.984432400000000207e+00,-3.121967600000000176e-01,6.690731199999999657e-01
1.334309200000000040e+01,-2.977186199999999783e+00,-2.804758700000000160e-01,6.926416699999999871e-01
1.331707100000000032e+01,-2.968012499999999942e+00,-3.263316800000000129e-01,6.637929200000000085e-01
1.323356300000000019e+01,-2.942919799999999864e+00,-2.326164900000000091e-01,6.546505900000000322e-01
