N,ntracks,q16,q50,q84,sigma_log10M
142,12,-0.020598294331205125,-0.0006062432899849313,0.01650958348561865,0.018553938908411886
143,12,-0.018064829720433905,0.00698735296965225,0.02007788023167578,0.01907135497605484
144,12,-0.018842594347114598,0.012167416353175753,0.01915751123586844,0.01900005279149152
145,12,-0.022264761005429037,0.008346950827702315,0.01851628975328694,0.02039052537935799
146,12,-0.026693071737769997,0.00456711043384761,0.015077424474270984,0.02088524810602049
147,12,-0.028776261028017062,0.0026363519233889576,0.013046561401781035,0.020911411214899048
148,12,-0.018455115063283144,0.00029690979310004195,0.015676107111996133,0.01706561108763964
149,11,-0.019995061208185658,5.5363738422187225e-05,0.01465364918043193,0.017324355194308794
150,11,-0.023150775905782336,-0.0041528592126578445,0.013946517156846387,0.018548646531314363
151,11,-0.025057830088287145,-0.00039784435132084184,0.013279591994251664,0.019168711041269403
152,11,-0.027704769657762536,0.0,0.010469572101712649,0.019087170879737592
153,10,-0.03384494832841341,-0.008519615840646644,0.011188259112142511,0.02251660372027796
154,10,-0.0424621777660078,-0.009372148577126538,0.011342238274719276,0.02690220802036354
155,10,-0.04456787448240505,-0.00837503533578765,0.011436989228364496,0.02800243185538477
156,10,-0.04802314611646736,-0.010438188455883513,0.009242137344256204,0.028632641730361782
157,10,-0.045224281522557634,-0.009204551890276136,0.007510388669187901,0.026367335095872767
158,9,-0.05136354966922824,-0.018108364269398436,0.008598542243057209,0.029981045956142722
159,9,-0.052484677162260095,-0.011663817602414639,0.007242559973919497,0.029863618568089795
160,9,-0.04780517015225101,-0.008717948345276838,0.004434634799782557,0.026119902476016785
161,9,-0.04500523040271602,-0.013066624648326197,0.0018889924121599931,0.023447111407438007
162,9,-0.046987751596115145,-0.012190797292893407,0.0041574139657152625,0.025572582780915204
163,9,-0.04520704788134793,-0.01628990431701105,0.0013511215781642238,0.023279084729756077
164,9,-0.0433741982695556,-0.011922104820918378,0.0003867070648383452,0.021880452667196973
165,9,-0.04570924979630306,-0.015195539996142315,-0.0005651784565906615,0.0225720356698562
166,9,-0.0425230104995746,-0.014360389118863282,0.003099307724622799,0.0228111591120987
167,9,-0.04040755592574669,-0.01661853678993097,0.001693045235259585,0.02105030058050314
168,9,-0.03660097190875398,-0.013867802611343905,0.0015469721908478772,0.01907397204980093
169,9,-0.037668158637596885,-0.016004872777676482,-0.00034366025033520913,0.01866224919363084
170,9,-0.04042067979478638,-0.01693899527622733,0.0011370246508508285,0.020778852222818604
171,9,-0.04267867565875747,-0.018856895530033668,0.00683898183512411,0.02475882874694079
172,9,-0.043568049005961174,-0.015356158295501743,0.008746983326276945,0.026157516166119058
173,9,-0.03724987715303769,-0.018077125774158986,0.006237412824725792,0.02174364498888174
174,9,-0.033020259759181554,-0.016854509469684587,0.005138762023223931,0.019079510891202744
175,9,-0.032019269196559466,-0.01722787768175138,0.0025986278645687114,0.01730894853056409
176,9,-0.03077156717692709,-0.013751528201309426,0.0018168506598121319,0.01629420891836961
177,9,-0.03195610190644693,-0.00846639945172889,0.0001427127803268033,0.01604940734338687
178,9,-0.03433657464243424,-0.007928838529297266,0.002714992321649063,0.01852578348204165
179,9,-0.03079151277729679,-0.011749242948440042,0.0012366470415172155,0.016014079909407
180,9,-0.032740084198433335,-0.013112361936203243,-0.0017056509278459942,0.01551721663529367
181,9,-0.03372071781067845,-0.016209770453977868,-0.0005532214025335951,0.016583748204072428
182,9,-0.03595389975407301,-0.018390734574674994,7.140803578025118e-05,0.01801265389492663
183,9,-0.03723825167137576,-0.016804696313959866,0.0023071101117222523,0.019772680891549006
184,9,-0.03986582808028587,-0.014643748317611838,0.0038686060330381604,0.021867217056662013
185,9,-0.041162048559668776,-0.011602751255884058,0.003515072984282027,0.0223385607719754
186,9,-0.04192495455177351,-0.013102587160528145,0.00183738413099391,0.02188116934138371
187,9,-0.045557585327820505,-0.013315121322433399,-0.0005728413285019949,0.022492371999659255
188,9,-0.04675573889594922,-0.009272858255936711,0.0015006259881815234,0.024128182442065372
189,9,-0.044212793015756514,-0.008083050836232175,-0.0020608076255971513,0.021075992695079683
