N,s_gap,s_gap0,s_rms,sky,s_tempel,m_gap,m_rms
7,619.4575829536774,619.4979395274952,537.8724359551729,0.44490473292577104,537.591399,319070880415109.56,241112039681729.06
8,645.4555579981213,645.4942891696767,583.3818143716086,0.6704525984878934,583.292314,519857668278400.1,425399049731793.06
5,134.96422626322175,135.14933359373293,128.69182131481145,0.16983902988815144,128.575639,5985804859952.74,5446860044704.718
14,551.089353806109,551.1347166332699,531.5566787760395,0.5971953404832512,531.025339,338792389816500.4,315395378759830.56
8,628.1378557352233,628.1776546548311,558.1336635201658,0.3300338965188933,558.04189,243905124820971.16,192943311461888.12
8,535.2931385387884,535.339839883701,477.5927909240501,0.35760173051197286,477.159732,192305011825152.75,153391561856890.88
12,817.5060456395254,817.5366258811734,770.7339885430237,0.5476447471147918,769.97198,679742263108593.4,604745707703715.8
6,434.6171597599304,434.67467784285395,405.9472405909816,0.49736605071181955,405.880561,176454218582539.34,154128534107300.84
5,494.1144414301541,494.16503440635415,399.6471106180636,0.40621654666489415,399.28047,186185619882595.44,122258262878765.16
29,482.41554620931817,482.4673659683469,457.74014721156584,0.3055495556015115,458.947126,133886959727836.23,120653128830593.45
10,288.73679354563905,288.8233646141132,262.5272919534343,0.1715947632413587,262.320584,27318285283347.594,22621031822018.895
11,705.0633421180163,705.0987990336014,675.3971311621938,0.3285296824751462,650.171731,305341457939002.2,280382462386969.75
10,352.4733436001036,352.54426381468284,319.37530793001525,0.6792883519676118,319.15374,158657999014998.56,130488001534238.75
5,492.87838752968986,492.9291073713006,439.596983921334,0.4521691792050091,439.195585,206030303651507.62,164222146092017.88
11,560.340080218733,560.3846942052719,556.725521066716,0.46983171863629514,556.179527,276031754687484.97,272510669484138.44
17,717.7067111253422,717.7415434502558,673.7792177234471,0.3670202248012726,673.924276,353023479059807.25,311465209793914.8
5,397.60430678234377,397.66717839402855,353.8022078877442,0.6116541084451055,353.676248,181567934927834.3,144064443149422.84
7,350.5720560960759,350.64336086033376,317.9385265963357,0.4611075144078281,317.720693,106917287638626.5,88091759635636.88
25,452.17498122807535,452.23026617931083,461.52443207711246,0.4905039428665657,461.409695,188254776842908.5,196048946730602.03
11,928.1829151283666,928.2098490838118,851.0420265875028,0.6238234097920907,850.849512,996911681459692.1,838091737104860.8
14,593.29319533922,593.3353315249497,554.6315949735072,0.3412805042505269,554.525981,225157411161513.12,196985727172608.22
17,439.62591138053955,439.6827742329349,457.1723142076112,0.38184332836590607,457.125434,138906654283279.86,150111957262432.78
16,666.4622907277788,666.4998011718521,664.2483206079227,0.49208947005946185,663.702769,407640521016982.25,404959677861071.0
8,381.2580258383606,381.32359259055033,343.12630268104635,0.2860011794033537,342.959885,78649142418888.95,63821866870913.21
6,649.101398410818,649.1399120520009,546.8673232959449,0.4488951424271919,546.453894,353173402336260.75,251393488582144.44
15,835.8213838095187,835.8512939711578,786.3891434088802,0.4095692393138738,753.234699,532422125180828.94,471778153252747.0
13,591.5436697124578,591.5859305095764,543.8986533651341,0.5174663707158794,543.337784,338247777574306.56,286352569199942.75
8,415.7846653027592,415.8447882334556,381.22522838205833,0.31821319607602666,380.928017,103815265174961.36,87409478812424.16
6,482.3796780761944,482.43150168795256,406.12337542931755,0.3973150747136207,405.559618,173666923696050.47,123475146523932.23
8,561.6320778750469,561.6765892381867,497.23587228742787,0.5008269135616301,496.93535,295436077999044.7,232028870079149.75
6,455.5012527645554,455.5561340494488,389.838005476494,0.3214141500748067,389.680429,125633344251687.89,92278195528208.4
6,387.8560369545695,387.9204885051889,323.28717202316227,0.31977779765082964,298.301716,90889620607955.31,63350126824962.52
11,537.1371780530015,537.1837190819747,494.56556625925015,0.4153600470770124,494.476804,224615498811643.84,190683472328177.56
6,505.5151767045917,505.56462878515794,429.9646129593483,0.5301293308846193,397.917682,253666702742992.84,184003692206160.47
6,351.012088791516,351.0833041854641,309.8933801047996,0.4156124115680885,309.660845,96697652606870.17,75536541954653.14
6,310.8162463205832,310.8966692919328,326.350912429227,0.3504221893904822,326.345038,64161166853305.19,70674356813240.52
15,832.4104815909216,832.4405143086382,770.5432627143531,0.6153801735267476,770.045759,790971839105166.1,678588959475299.6
6,359.61858162592927,359.6880930064896,311.6745328172354,0.25355754727117036,311.357665,62166394195091.305,46812857203054.1
15,438.5393824884727,438.5963862064654,406.63124520812516,0.34928644897091154,402.031402,126541138727586.38,108943433199580.55
7,619.7988732209593,619.8392075740053,543.8434284298311,0.23178859181281528,543.238853,167317906019790.3,129120267356316.45
17,369.11436192457023,369.18208539822547,344.5692253713838,0.5195899525954228,344.385906,133294996749197.36,116299084251632.4
8,560.4399949971013,560.4846010305287,496.0405251275215,0.7549616350108495,495.814267,441939784463345.0,346931530136673.44
5,549.3732653529368,549.4187698691666,478.54236261709957,0.3105311635541094,478.192603,176032036847012.8,133893597638297.36
10,449.2088040774296,449.2644540364556,418.0993599906316,0.4457533717908211,417.765736,169005546495349.4,146593909461656.03
54,788.7601577405102,788.7918524166147,758.4682291098065,0.3602033772145237,750.653536,417856607804605.06,386636110419439.3
8,625.7693911800825,625.8093407243864,556.3838592061943,0.34507217366592624,556.166575,253023473551628.72,200404574784325.03
5,414.7367291669305,414.79700399121,352.88037568185985,0.34787868293140467,352.670034,112837500306561.53,81924245545681.75
30,425.4184804632616,425.47724207020815,410.4181705684938,0.4176056150305006,410.013874,142225903323994.28,132457074565677.03
17,383.2460209574285,383.3112476561335,383.2630069220282,0.3705503207328647,382.882248,102718825848707.33,102727850200134.61
8,728.6154934250449,728.6498042674694,661.2926736548739,0.42046151439334895,660.688137,416224130680624.44,343428341826054.44
6,603.7561285589849,603.7975345863325,527.8262579561604,0.2199686042196415,527.733627,150812027291912.8,115539600708468.14
11,585.5385992511896,585.5812934282013,532.8319399504747,0.5623872631113866,532.718302,359992221954774.25,298572988189175.3
18,595.2306606132895,595.2726596561722,563.5542974793268,0.38532348588847354,545.075597,255612558581747.53,229333709207813.16
28,417.55184177128257,417.6117102843144,408.29443087148366,0.3234347442280794,407.888917,106394155692486.78,101769437044580.22
13,483.0136537213683,483.06540931975854,449.6206036378603,0.4183415272966612,449.217265,183250438161297.2,158990256479012.47
7,452.38690326089966,452.4421623168939,390.2438436568653,0.3388936982759149,389.952507,130615135246353.17,97451514110964.52
8,470.70400424578304,470.7571131836609,433.50771691413814,0.5095643294148192,433.014944,211713720809668.53,179829603647293.75
13,206.98084517225772,207.1015940745559,200.0513878318743,0.19083627935282482,199.877316,15687244255342.03,14662884986813.863
5,251.32948263735918,251.42893398088182,234.07120253681074,0.24741901572713268,222.113556,29821723740832.43,25898604233815.05
8,351.4468705867077,351.5179978965374,308.58182109062056,0.4348134043002517,308.151533,101372770639596.2,78333458053183.67
12,609.1847138236924,609.2257508973615,567.4990150965883,0.5834226845181096,567.217089,403829953735184.5,350877789680790.2
5,621.074747067078,621.1149985666382,516.6531956591616,0.3711062478227331,516.252866,267920061849449.28,185966414873335.66
5,366.26102088940814,366.3292718620114,295.31386385594783,0.22452535725386433,295.084071,57143395641023.92,37289957468977.63
6,495.03826407026776,495.0887626413108,451.77767038355995,0.19908876324111033,451.310565,92171056487934.2,76890330418322.23
5,781.1436058531366,781.1756095560334,666.25095375471,0.2026947353523882,860.332435,231759641424485.97,169054537463716.06
6,444.87583114850275,444.93202305528774,376.58880257690186,0.2168234272506572,376.341006,81161466939667.1,58328558882643.13
11,472.19838394520895,472.2513248265874,453.16173454400064,0.6336923982509641,452.815385,264479849057876.72,243747235348184.97
5,821.174665482329,821.2051091110034,684.5683447707781,0.18966560239116478,683.874949,239593679302196.03,167023600040698.75
6,662.645310038237,662.6830365383372,568.589174759884,0.41212108347823256,568.676547,338040377315545.56,249513363191593.97
5,705.0561167874915,705.0915740664166,602.7508575530356,0.3855076052232609,602.496019,357807659435503.06,262183090104275.38
8,376.91389526007964,376.98021757132864,341.2181491348889,0.28419724084418513,340.944405,76401906758764.45,62725553711686.734
5,610.9935388374284,611.0344544304227,497.5041064896457,0.5831764205471544,497.281698,406041105549391.25,270136504813573.12
6,679.0323602807335,679.0691763792728,567.5994251848668,0.5787044838052063,567.345817,496797945512728.3,348186423471341.4
10,855.2754169215203,855.3046467722951,784.6572149324838,0.7792439340950599,784.489275,1057336647733910.8,889941074047229.2
15,365.2979383126473,365.36636919053,351.9927341112562,0.3205283249915535,352.076715,80898331369329.58,75161768934879.69
16,450.15336548460357,450.20889868717063,432.30801699999154,0.23428253355943116,432.046794,89709153417475.38,82797042707976.08
7,395.99026280151446,396.0533906351674,354.05337645056466,0.34670946587729107,353.837343,102609228896556.5,82190225436257.75
5,362.8611296206202,362.9300199619102,299.1271511255717,0.5109851476849706,299.101456,126740631827640.03,86425351989239.36
5,225.83253441434044,225.94320879372378,203.2052561752262,0.2673834075223165,212.266052,26051485383457.83,21131068631438.21
6,445.9864341391829,446.0424861335338,395.33094013430565,0.31895176565592237,395.217049,119570068621427.08,94152949176987.25
7,183.80311407129398,183.93907888837842,161.4846442727649,0.2001342358022475,161.328918,12994192336663.281,10052387183669.379
12,456.1064572860574,456.16126575810677,423.5111878021874,0.3346438710814362,423.060258,131102460596357.77,113183038248091.31
5,527.6310763029878,527.6784557670035,426.7935349724121,0.2802984239904162,425.997927,146804075898965.44,96416410495237.56
28,481.08681529497,481.1387781614121,466.8590277524597,0.36863597362365513,510.577744,160382831314296.38,151117084630928.56
13,342.3236894041529,342.39671191071756,343.9433599884644,0.47753095377360505,343.807214,105588208326504.1,106580766303305.47
11,457.01500676622663,457.06970629164886,431.5043504133985,0.3875097187190347,431.414293,152215797523536.25,135834777879092.88
5,514.7071355749697,514.7557045937327,436.2183068548576,0.4441928184110734,435.692347,220597436136879.12,158901718926132.3
7,575.5857177518054,575.6291501304125,506.2447228813398,0.40866793985431804,506.160742,253516320989302.34,196523637549578.6
35,607.2184107221061,607.2595806736032,590.336964175425,0.5101903207812718,594.946198,351285387545309.1,332184132088178.8
8,365.7310431809235,365.79939303695755,327.39324466858506,0.19459223308970972,327.192927,49445286745249.945,39699371829953.625
8,403.82204825527543,403.88395196774775,398.1474548271198,0.7058412060713941,397.823679,215810887450663.34,209836315459978.06
7,954.5880782927431,954.6142672402462,829.1416615486676,0.3986593970197061,828.555862,674718938974038.4,510161531745596.6
